suite,task_id,scenario_id,seed,model_id,status__pretrained__frozen,failure_type__pretrained__frozen,failure_stage__pretrained__frozen,mse_db__pretrained__frozen,recovery_k__pretrained__frozen,train_updates_used__pretrained__frozen,adapt_updates_used__pretrained__frozen,total_time_s__pretrained__frozen,cache_hit__pretrained__frozen,status__trained__frozen,failure_type__trained__frozen,failure_stage__trained__frozen,mse_db__trained__frozen,recovery_k__trained__frozen,train_updates_used__trained__frozen,adapt_updates_used__trained__frozen,total_time_s__trained__frozen,cache_hit__trained__frozen,status__trained__budgeted,failure_type__trained__budgeted,failure_stage__trained__budgeted,mse_db__trained__budgeted,recovery_k__trained__budgeted,train_updates_used__trained__budgeted,adapt_updates_used__trained__budgeted,total_time_s__trained__budgeted,cache_hit__trained__budgeted,delta_mse_db_trained_budgeted_minus_frozen,delta_recovery_k_trained_budgeted_minus_frozen
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,0,kalmannet_tsp,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,0,maml_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,0,nominal_kf,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,0,oracle_kf,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,0,oracle_shift_kf,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,0,split_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,1,adaptive_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,1,kalmannet_tsp,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,1,maml_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,1,nominal_kf,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,1,oracle_kf,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,1,oracle_shift_kf,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,1,split_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,2,adaptive_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,missing_data,io_error,data_loading,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,2,kalmannet_tsp,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,2,maml_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,2,nominal_kf,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,2,oracle_kf,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,2,oracle_shift_kf,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_multimodel_compare,B_linear_shift_compare_v0,cdcff7c8fcdc,2,split_knet,,,,,,,,,,missing_data,io_error,data_loading,,,,,,,,,,,,,,,,,
